NAME,DESCONT,PRICE,RATING,RELEASE,ENDS,STARTED
Killing Floor,-90%,"R$ 3,49",93.37%,May 2009,2024-05-23 14:00:00,2024-05-16 14:01:19
Dark Messiah of Might & Magic,-75%,"R$ 7,49",88.66%,Oct 2006,2024-05-31 14:00:00,2024-05-17 14:01:17
FlatOut 2™,-80%,"R$ 13,99",93.70%,Aug 2006,2024-05-23 14:00:00,2024-05-09 14:01:20
Xpand Rally,-89%,"R$ 1,86",77.47%,Aug 2006,2024-05-24 14:00:00,2024-05-10 14:01:18
Men of War: Red Tide,-85%,"R$ 2,54",80.82%,Nov 2009,2024-05-22 14:00:00,2024-05-15 14:01:19
Judge Dredd: Dredd vs. Death,-60%,"R$ 6,39",82.71%,Feb 2005,2024-05-20 14:00:00,2024-05-07 14:01:21
Evil Genius,-90%,"R$ 1,99",89.90%,Sep 2004,2024-05-20 14:00:00,2024-05-07 14:01:21
Aliens versus Predator Classic 2000,-80%,"R$ 3,39",84.08%,Mar 2000,2024-05-20 14:00:00,2024-05-07 14:01:21
Sid Meier's Civilization® IV,-85%,"R$ 4,49",89.14%,Oct 2005,2024-05-27 14:00:00,2024-05-13 14:21:19
FlatOut,-80%,"R$ 13,99",89.04%,Jul 2005,1969-12-31 21:00:00,2024-05-09 14:01:20
Dreamfall: The Longest Journey,-60%,"R$ 23,99",80.36%,Apr 2006,2024-05-20 14:00:00,2024-05-13 14:21:19
The Longest Journey,-60%,"R$ 13,19",86.00%,Nov 2000,2024-05-20 14:00:00,2024-05-13 14:21:19
Nexus - The Jupiter Incident,-80%,"R$ 3,99",80.54%,Nov 2004,2024-05-20 14:00:00,2024-05-13 14:21:19
Battlestations: Midway,-86%,"R$ 3,06",73.90%,Jan 2007,2024-05-21 14:00:00,2024-05-08 14:01:19
Just Cause,-86%,"R$ 3,06",65.05%,Sep 2006,2024-05-21 14:00:00,2024-05-08 14:01:19
Thief: Deadly Shadows,-89%,"R$ 4,12",78.54%,Jun 2004,2024-05-20 14:00:00,2024-05-10 14:01:18
Tomb Raider: Legend,-86%,"R$ 4,05",84.74%,Apr 2006,2024-05-20 14:00:00,2024-05-10 14:01:18
Project: Snowblind,-85%,"R$ 2,98",72.08%,Feb 2005,2024-05-21 14:00:00,2024-05-08 14:01:19
Men of War™,-85%,"R$ 2,54",86.46%,May 2009,2024-05-22 14:00:00,2024-05-15 14:01:19
Tomb Raider: Anniversary,-89%,"R$ 4,12",80.11%,Jun 2007,2024-05-20 14:00:00,2024-05-10 14:01:19
Tomb Raider: Underworld,-89%,"R$ 4,12",74.70%,Nov 2008,2024-05-20 14:00:00,2024-05-10 14:01:19
Just Cause 2,-90%,"R$ 6,49",89.27%,Mar 2010,2024-05-21 14:00:00,2024-05-08 14:01:20
Sid Meier's Civilization® V,-75%,"R$ 11,24",94.97%,Sep 2010,2024-05-27 14:00:00,2024-05-13 14:21:19
Supreme Commander,-80%,"R$ 6,79",85.42%,Feb 2007,2024-05-21 14:00:00,2024-05-08 14:01:20
Supreme Commander: Forged Alliance,-80%,"R$ 6,79",94.11%,Sep 2011,2024-05-21 14:00:00,2024-05-08 14:01:20
Blade Kitten,-50%,"R$ 3,14",78.98%,Sep 2010,2024-05-20 14:00:00,2024-05-13 14:21:19
Larva Mortus,-67%,"R$ 3,46",71.94%,Mar 2009,2024-05-20 14:00:00,2024-05-13 14:21:19
Soldiers: Heroes of World War II,-85%,"R$ 2,54",80.09%,Jun 2004,2024-05-22 14:00:00,2024-05-15 14:01:19
Max Payne 2: The Fall of Max Payne,-65%,"R$ 5,24",91.79%,Oct 2003,2024-05-27 14:00:00,2024-05-13 14:21:19
Bully: Scholarship Edition,-65%,"R$ 13,99",83.11%,Oct 2008,2024-05-27 14:00:00,2024-05-13 14:21:19
